;food1;food2;amount
418;hanoi turmeric grilled fish with dill and onion;cashew curry;0.201496
419;beer battered onion rings;stabilized whole-milk yogurt;0.201499
420;onion, tomato, and bell pepper citrus salsa;bone-in cowboy rib-eye with pinto-wild mushroom ragout and red chile onion rings;0.201509
421;duck legs confit cooked in a pouch (“confit” de canard en sous vide);tender mangoes in brine;0.20151
422;turkey shawarma with crunchy vegetables;quick zesty green beans;0.201517
423;sweet georgia peach and pecan dip;beer battered onion rings;0.201525
424;hanoi turmeric grilled fish with dill and onion;mixed-nut honey baklava;0.201525
425;bacon-wilted greens with warm pecan-crusted goat cheese;nasi goreng: indonesian fried rice;0.201525
426;chocolate bread pudding with walnuts and chocolate chips;tropical quinoa salsa salad;0.201531
427;oven roasted turkey with sage butter;creamy parmesan polenta;0.201531
428;chocolate bread pudding with walnuts and chocolate chips;honey soy dipping sauce (for dumplings or potstickers);0.201533
429;brown sugar glazed pork chops;spicy mexican torte;0.201536
430;braised meat with butternut squash;pork belly with lentils;0.201537
431;mexican style meatballs;thanksgiving turkey with italian meat stuffing;0.201543
432;mutter dhingri;honeyed red-onion confit;0.201543
433;thai-style crab salad in papaya;creamy parmesan polenta;0.201546
434;chicken wings with black-bean sauce;easy yorkshire pudding;0.201547
435;potato corn chowder;freak n good ribs;0.201548
436;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;methi paneer;0.201555
437;round 2 recipe - web - cinnamon roll french toast;green tea margarita;0.201559
438;cinnamon-almond cookies;easy chicken enchiladas;0.201563
439;thanksgiving turkey with italian meat stuffing;wild mushroom and gruyère tart with fresh herb salad;0.201564
440;ninfa s green tomato salsa;chocolate filled crepes covered with strawberry sauce;0.201567
441;hanoi turmeric grilled fish with dill and onion;succotash;0.201567
442;stir fried chicken;chocolate filled crepes covered with strawberry sauce;0.201569
443;spicy sausage linguine;potato and celery-root gratin with smoked haddock;0.201569
444;crostini with white beans and basil-marinated shrimp;healthy turkey tex mex chili;0.201575
445;roasted pumpkin soup;rava corn dhokla;0.201576
446;frijoles de olla;round 2 recipe - web - cinnamon roll french toast;0.201586
447;scandinavian-style rare-cooked salmon with fava beans and peas;bouillabaise;0.201589
448;classic tiramisu with chocolate;chicken meatball dim sum;0.20159
449;taco soup vii;bacon-wilted greens with warm pecan-crusted goat cheese;0.201592
450;balsamic glazed chicken breast;thanksgiving turkey with italian meat stuffing;0.201593
451;crostini with white beans and basil-marinated shrimp;warm berry and mango gratin in mascarpone chantilly;0.201594
452;shiitake japanese style;beer battered onion rings;0.201595
453;veal spiedini - stuffed, skewered, and grilled;lotus rice with sausage;0.201597
454;reuben sandwich;the only pizza you ll ever want again: chicken, sun dried tomato, broccoli, ricotta, mozzarella and basil;0.201599
455;burmese chicken curry;bouillabaise;0.2016
456;quick fish tacos;geoduck papaya ceviche;0.201604
457;stove-top crawfish boil;bouillabaise;0.201605
458;australian bbq meatballs;hanoi turmeric grilled fish with dill and onion;0.20161
459;shellfish watermelon ceviche;easy chicken enchiladas;0.201613
460;stuffed peppers;cajun prime rib roast;0.201616
461;broiled steak with horseradish cream;ridge gourd chutney;0.201617
462;spicy tomato relish;cannelloni or stuffed shells with veal and sweet sausage;0.201627
463;thai-style pineapple snack;passover chocolate walnut cookies;0.201628
464;candied root vegetables;turkey potpie with cheddar biscuit crust;0.201628
465;shrimp cognac and baked cheese grits;chocolate raspberry icebox cake;0.201632
466;matcha green tea ice latte;beer battered onion rings;0.201635
467;red-bean soup with gremolata;geoduck papaya ceviche;0.201636
468;cajun red beans;melon and papaya balls in honey and ginger dressing;0.201642
469;danish pastry braid;brussels sprouts with white beans and pecorino;0.201643
470;creamy parmesan polenta;salmon fillets with creamy dill;0.201645
471;sauce anglaise;thanksgiving turkey with italian meat stuffing;0.201647
472;tomatillo sauce;mal s samosa quesadillas with curried cabbage and chickpeas;0.201652
473;corn and bean medley;helva;0.201656
474;grilled sea bass with miso-mustard sauce;classic tiramisu with chocolate;0.201664
475;classic tiramisu with chocolate;perfect baked poutine;0.201665
476;ginger-lemongrass portobello mushroom caps;toad in the hole iii;0.201668
477;curd rice;southwest cheese grits;0.201675
478;round 2 recipe - web - cinnamon roll french toast;vegetable beef minestrone;0.201677
479;punch ice block;curried chicken salad sandwich;0.201687
480;cornmeal crepes with ricotta and ham;ricotta gnudi with wild mushroom and truffle sauce;0.201687
481;fish mousseline with sauce nantua;easy chicken enchiladas;0.201689
482;tomatillo salsa verde;quick chicken fajitas;0.201701
483;creamy parmesan polenta;italian cookies i;0.201702
484;rum caramel cake;jerk chicken and tomato salad;0.201705
485;freak n good ribs;winner s circle lasagna;0.201708
486;turkey shawarma with crunchy vegetables;simple and easy coq au vin;0.201709
487;chocolate chip pie iv;cajun red beans;0.201709
488;paneer matar masala;quick chicken fajitas;0.201709
489;gingerbread boys;sue s killer martini;0.201713
490;baked shrimp in chipotle sauce;rum caramel cake;0.20172
491;escabeche;broiled steak with horseradish cream;0.201722
492;broiled steak with horseradish cream;mussels with fennel and italian beer;0.201722
493;noodle pancakes with caraway;salsa borracha (drunk salsa);0.201729
494;new york steaks with a vanilla and cherry sauce;chocolate-whiskey truffles souffles with caramel sauce;0.201733
495;cheese twists;bouillabaise;0.201738
496;dashi;stilton walnut tarts;0.201752
497;minty greek salad;marbleized brownies;0.201759
498;campechana extra (mexican seafood cocktail);broccoli spaghetti soup;0.201759
499;japanese dressing;southwest cheese grits;0.20176
500;dalia and oats balls;beer battered onion rings;0.201767
501;hanoi turmeric grilled fish with dill and onion;"southwest ""chili"" burgers with avocado crema and lime-marinated slaw";0.201767
502;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;fried cheese: saganaki;0.201768
503;chilled cream of zucchini soup with mussels and fresh mint;geoduck papaya ceviche;0.201774
504;chana ghassi;apple stuffed chicken breast;0.201776
505;rum caramel cake;cafe con leche;0.201777
506;caribbean slaw;spicy mexican torte;0.201777
507;chef julian s smoked tuna tacos;laura s maryland crab cakes;0.201778
508;almond puff pancakes;skyy vanilla white russian;0.201785
509;rib-eye steak with vidalia onions;baccelli e pecorino: fava beans and pecorino;0.20179
510;thanksgiving turkey with italian meat stuffing;mooli dhania parathas;0.201794
511;white bean and artichoke dip;becky s slow cooker gluten-free thai chicken curry;0.201795
512;rum caramel cake;stove-top crawfish boil;0.201804
513;pfeffernusse;meatballs with angel hair pasta;0.201812
514;mesa fresca;bouillabaise;0.201816
515;orzo;easy chicken enchiladas;0.201817
516;kowloon s chinese chicken wings;harvest foccacia;0.201819
517;ham hocks with navy beans;lentil soup kuppin;0.201821
518;bal s lentil cookies;cheesy italian pull apart bread;0.201826
519;laura s maryland crab cakes;salsa verde cocida;0.201834
520;rajma masaledar;chicken lasagna iii;0.201837
521;strawberry-yogurt shake;reuben sandwich;0.201841
522;southwest cheese grits;tunisian-style catfish nuggets;0.201845
523;turkey shawarma with crunchy vegetables;polish nalesniki;0.201845
524;rum caramel cake;apache fry bread;0.201851
525;almond, chocolate, and pistachio spumoni;crayfish or shrimp pasta;0.201853
526;african chicken in spicy red sauce;broccoli spaghetti soup;0.201857
527;bacon-wilted greens with warm pecan-crusted goat cheese;lamb tagine with prunes, apricots, and vegetables;0.20186
528;freak n good ribs;italian turkey soup;0.201868
529;spanish cheeses, celery sticks and olives;teriyaki chicken wings;0.201869
530;hanoi turmeric grilled fish with dill and onion;tempura shrimp;0.20187
531;red apple martini;moroccan chicken stew;0.201873
532;hanoi turmeric grilled fish with dill and onion;grilled tuna and star fruit salad;0.201874
533;chocolate bread pudding with walnuts and chocolate chips;cranberry nut bread i;0.20188
534;moroccan chicken stew;mayonnaise and hard boiled eggs;0.20189
535;fresh spring rolls with thai dipping sauce;rajma masaledar;0.201891
536;roasted pumpkin soup;sweet miso soup with baby turnips;0.201893
537;basic buttermilk corn bread;mutter dhingri;0.201893
538;duck legs confit cooked in a pouch (“confit” de canard en sous vide);quiche (southern egg pie);0.201899
539;campechana extra (mexican seafood cocktail);tender mangoes in brine;0.201901
540;chocolate bread pudding with walnuts and chocolate chips;bob s awesome lasagna;0.201906
541;southwestern corned beef quesadillas!;marbleized brownies;0.201907
542;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;lentil soup kuppin;0.20191
543;laura s maryland crab cakes;the big apple pie;0.201913
544;poha vadai;korean chicken wings;0.201919
545;Sorvete Chambinho Nestlé Pote 1l;coconut milk and rose custard;0.201926
546;african chicken in spicy red sauce;pan-fried chicken with spinach and pine nuts;0.201926
547;stuffed young zucchini;southwest cheese grits;0.201928
548;apple-frangipane galette;rajma masaledar;0.201932
549;hanoi turmeric grilled fish with dill and onion;vermicelli with sauce alla sofia;0.201935
550;elijah s phulourie;sue s killer martini;0.201939
551;freak n good ribs;frisée and radish salad with goat cheese croutons;0.201941
552;teriyaki chicken wings;best teriyaki sauce;0.201943
553;broiled steak with horseradish cream;my best salsa;0.201945
554;pasta with spinach pesto sauce;chocolate filled crepes covered with strawberry sauce;0.201948
555;beer battered onion rings;baked ziti with mushrooms, peppers, and parmesan;0.20195
556;jain potato stew;simple chicken curry;0.201953
557;spicy sausage linguine;succotash;0.201955
558;spartan tri tip chili;champagne sabayon on top of milk chocolate sauce and fresh berries;0.201957
559;quick chicken fajitas;the big apple pie;0.20196
560;frisée and radish salad with goat cheese croutons;16-minute greek feast to go;0.201965
561;candied root vegetables;ice-wine sorbet with white peaches;0.20197
562;zucchini blossom and fontina panini;thanksgiving turkey with italian meat stuffing;0.201972
563;spicy sausage linguine;hatch chile enchilada pie;0.20198
564;chocolate bread pudding with walnuts and chocolate chips;toaster biscuits;0.201983
565;creamy parmesan polenta;cafe con leche;0.201984
566;refreshing limoncello cake;bacon-wilted greens with warm pecan-crusted goat cheese;0.201985
567;spicy mexican torte;yankee salad;0.20199
568;pinzimonio: vinaigrette;bouillabaise;0.201993
569;fanny s italian casserole;easy chicken enchiladas;0.201997
570;finikia;texas caviar wisconsin-style;0.201997
571;candied root vegetables;bratwurst and red cabbage;0.201998
572;spicy mexican torte;lamb au poivre;0.201999
573;cajun red beans;green herb dip;0.202
574;mutter dhingri;the ultimate spice-rubbed rib steak;0.202005
575;broiled steak with horseradish cream;slow lamb with baked provencal tomatoes;0.202012
576;moong soup;apple and quince crisp with rum raisins;0.202015
577;african chicken in spicy red sauce;cabbage and apple salad;0.202023
578;baked pears with sauternes custard sauce;thanksgiving turkey with italian meat stuffing;0.202026
579;chocolate bread pudding with walnuts and chocolate chips;roasted peppers and potatoes with bagna cauda;0.202033
580;melon bowls with fruit sorbet;bacon-wilted greens with warm pecan-crusted goat cheese;0.202033
581;onion, tomato, and bell pepper citrus salsa;green herb dip;0.202046
582;hanoi turmeric grilled fish with dill and onion;eggplant parmesan hero;0.202049
583;ham hocks with navy beans;apple stuffed chicken breast;0.202049
584;ricotta gnudi with wild mushroom and truffle sauce;sweet miso soup with baby turnips;0.202056
585;basic pot roast;harvest foccacia;0.202063
586;jalapeno corn muffins;16-minute greek feast to go;0.202073
587;spicy sausage linguine;orecchiette with mixed greens and goat cheese;0.202073
588;creamy carolina potato salad;stilton walnut tarts;0.202074
589;vanilla-bean cheesecake with guava topping and mango-lime salad;beer battered onion rings;0.202074
590;chicken and bowtie pasta with asiago cream sauce;bouillabaise;0.202083
591;almond, chocolate, and pistachio spumoni;Sorvete Chambinho Nestlé Pote 1l;0.202087
592;freak n good ribs;philly steak and cheese sliders;0.202104
593;butter chicken;thanksgiving turkey with italian meat stuffing;0.202106
594;erin s pico de gallo;papaya poached in cinnamon-lime syrup;0.202109
595;escarole siciliano;classic tiramisu with chocolate;0.202113
596;country morning cake;spicy mexican torte;0.202117
597;round 2 recipe - web - cinnamon roll french toast;soccas with kale and raisins;0.20212
598;southern cornbread dressing;savory polenta;0.202124
599;finikia;roasted feta with olives and red peppers;0.20213
600;spinach-artichoke ravioli-lasagna;warm berry and mango gratin in mascarpone chantilly;0.202131
601;colorado lamb and couscous crostini;becky s slow cooker gluten-free thai chicken curry;0.202132
602;ricotta gnudi with wild mushroom and truffle sauce;exotic mushroom chilequiles;0.202135
603;punch ice block;onion paneer paratha;0.202152
604;onion, tomato, and bell pepper citrus salsa;lentils with lemon;0.202152
605;pfeffernusse;italian vegetable lentil soup;0.202167
606;rum caramel cake;deep fried pickles;0.202176
607;braised meat with butternut squash;crispy chicken under a brick;0.202185
